PATIENT,Cancer_Diagnosis_1,Outpatient_Sum,Checkup_Sum,Emergency_Sum,Hospital_Sum,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,DESCRIPTION_1,DESCRIPTION_2,DESCRIPTION_3,DESCRIPTION_4,DESCRIPTION_5,DESCRIPTION_6,DESCRIPTION_7,DESCRIPTION_8,DESCRIPTION_9,DESCRIPTION_10,DESCRIPTION_11,DESCRIPTION_12,DESCRIPTION_13,DESCRIPTION_14,DESCRIPTION_15,DESCRIPTION_16,DESCRIPTION_17,DIAG_YEAR_1,DIAG_YEAR_2,DIAG_YEAR_3,DIAG_YEAR_4,DIAG_YEAR_5,DIAG_YEAR_6,DIAG_YEAR_7,DIAG_YEAR_8,DIAG_YEAR_9,DIAG_YEAR_10,DIAG_YEAR_11,DIAG_YEAR_12,DIAG_YEAR_13,DIAG_YEAR_14,DIAG_YEAR_15,DIAG_YEAR_16,DIAG_YEAR_17,BIRTHYEAR,DEATHYEAR,AGE,Viral sinusitis (disorder),Acute viral pharyngitis (disorder),Acute bronchitis (disorder),Normal pregnancy,Otitis media,Streptococcal sore throat (disorder),Prediabetes,Sprain of ankle,Chronic sinusitis (disorder),Hypertension,Polyp of colon,Sinusitis (disorder),Acute bacterial sinusitis (disorder),Whiplash injury to neck,Concussion with no loss of consciousness,Coronary Heart Disease,Sprain of wrist,Escherichia coli urinary tract infection,Fracture of clavicle,Osteoporosis (disorder),Diabetes
d043db5b-daa0-415a-97ae-640091ba6cb8,0.0,5,0,0,1,1995-03-25,,999-83-2728,S99976301,false,Ms.,Golden640,Jaskolski963,,,,white,irish,F,North Andover MA US,427 Vesta Harbor Lynn MA 01902 US,Acute viral pharyngitis (disorder),Normal pregnancy,Acute viral pharyngitis (disorder),,,,,,,,,,,,,,,2010.0,2011.0,2015.0,,,,,,,,,,,,,,,1995.0,,21.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b54e160-58fd-4f47-845a-233655e85b36,0.0,5,2,0,0,1955-10-25,,999-62-5373,S99976785,X24936344X,Mrs.,Cathryn17,Morar352,,Hegmann299,M,white,portuguese,F,Mansfield MA US,441 Freeman Club Beverly MA 01915 US,Acute bronchitis (disorder),Acute viral pharyngitis (disorder),,,,,,,,,,,,,,,,2011.0,2013.0,,,,,,,,,,,,,,,,1955.0,,61.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a35d07d8-baf0-4043-8c2b-3ac8ea5a431c,0.0,3,0,0,0,1967-02-24,,999-64-3436,S99999325,X40118116X,Mrs.,Josefa728,Schneider233,,Will853,M,white,english,F,Easthampton Town MA US,3579 Lesch Mills Stow MA 01775 US,Viral sinusitis (disorder),,,,,,,,,,,,,,,,,2012.0,,,,,,,,,,,,,,,,,1967.0,,49.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fe499d35-b3d6-445b-abd9-6f53ebda4c13,0.0,2,0,1,0,17/03/1967,,999-81-4315,S99946926,FALSE,Mr.,Kiley203,Nader776,,,M,black,african,M,Westford MA US,6858 Rebecca Point Suite 796 Clinton MA 01510 US,Acute viral pharyngitis (disorder),Viral sinusitis (disorder),Acute bronchitis (disorder),Facial laceration,,,,,,,,,,,,,,2010.0,2013.0,2014.0,2015.0,,,,,,,,,,,,,,1967.0,,49.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c6b839a3-b6e6-438d-91f0-c86fe0c8050e,0.0,9,0,0,0,11/09/1993,,999-61-8515,S99978993,FALSE,Ms.,Allan744,Doyle678,,,,white,french,F,Randolph MA US,7171 Lauriane Lane New Bedford MA 02740 US,Acute viral pharyngitis (disorder),,,,,,,,,,,,,,,,,2015.0,,,,,,,,,,,,,,,,,1993.0,,23.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e4605f39-9daa-4600-a91f-0552d8c231da,0.0,6,1,0,0,20/07/1958,,999-41-7202,S99997131,FALSE,Mrs.,Imani785,Feil134,,Walker324,M,white,english,F,Lexington MA US,38058 Bernier Plains Apt. 509 Pittsfield MA 01202 US,Prediabetes,Stroke,Viral sinusitis (disorder),,,,,,,,,,,,,,,2007.0,2009.0,2013.0,,,,,,,,,,,,,,,1958.0,,58.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a4e96f97-e94d-44a5-8062-dbb5801ea442,0.0,1,0,0,0,1983-06-21,,999-29-3813,S99990900,X47390987X,Mrs.,Thomas201,Feil438,,Nienow52,M,white,german,F,Whitman MA US,4599 Veum Walk Dartmouth MA 02747 US,Acute bronchitis (disorder),Viral sinusitis (disorder),Acute viral pharyngitis (disorder),Acute viral pharyngitis (disorder),Viral sinusitis (disorder),,,,,,,,,,,,,2010.0,2010.0,2011.0,2011.0,2011.0,,,,,,,,,,,,,1983.0,,33.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbfc51b5-64aa-4331-9972-d7464f87b367,0.0,1,0,0,0,1979-08-11,,999-85-7244,S99992361,false,Mr.,Johathan762,Kassulke836,,,M,white,irish,M,Franklin Town MA US,12874 Ari Plaza Taunton MA 02780 US,Acute viral pharyngitis (disorder),,,,,,,,,,,,,,,,,2013.0,,,,,,,,,,,,,,,,,1979.0,,37.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63b6c492-0b7f-42c4-b290-ecb89bbb3088,0.0,12,0,0,0,2011-11-10,,999-87-1064,,,,Itzel33,Cummerata368,,,,white,portuguese,M,Plymouth MA US,950 Adams Circle Apt. 903 Groveland MA 01834 US,Otitis media,Acute viral pharyngitis (disorder),,,,,,,,,,,,,,,,2013.0,2015.0,,,,,,,,,,,,,,,,2011.0,,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02a696af-0708-4af8-8826-e7634e841ebf,0.0,4,0,0,0,1961-12-14,,999-96-4200,S99939448,X95641635X,Mr.,Madelynn896,Jenkins340,,,S,white,italian,M,Chelmsford MA US,47615 Santiago Loaf Lowell MA 01852 US,Prediabetes,,,,,,,,,,,,,,,,,2006.0,,,,,,,,,,,,,,,,,1961.0,,55.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eacf9d23-ecb9-41d5-8dc8-1c089b4f3ca6,0.0,6,1,2,0,20/02/2003,,999-20-2235,,,,Elmore855,McKenzie863,,,,white,portuguese,M,Clinton MA US,84328 Grimes Meadow Winthrop MA 02152 US,Perennial allergic rhinitis,Fracture of ankle,Sprain of ankle,,,,,,,,,,,,,,,2008.0,2012.0,2014.0,,,,,,,,,,,,,,,2003.0,,13.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
a56f127f-2722-4a46-a28c-d458a297ba1e,0.0,2,0,0,0,20/12/1975,,999-60-9432,S99936468,X86198822X,Mr.,Tabitha807,Veum951,,,M,white,irish,M,Chicopee MA US,49130 Mertz Mount Apt. 813 Chesterfield MA 01012 US,Sinusitis (disorder),Acute viral pharyngitis (disorder),Acute bronchitis (disorder),Acute viral pharyngitis (disorder),,,,,,,,,,,,,,2012.0,2013.0,2013.0,2013.0,,,,,,,,,,,,,,1975.0,,41.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35a1473b-acb4-4a38-8725-898d9287c772,0.0,6,1,0,0,2003-03-27,,999-61-3149,,,,Una627,Runolfsson160,,,,white,irish,F,Holyoke MA US,58465 Lesch Plaza Apt. 884 Chatham MA 02633 US,Concussion with no loss of consciousness,Acute viral pharyngitis (disorder),,,,,,,,,,,,,,,,2010.0,2012.0,,,,,,,,,,,,,,,,2003.0,,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1973cbb4-17f6-4a26-a0be-f64a8d31b808,0.0,2,0,0,0,05/02/1987,,999-40-6764,S99980769,X62388847X,Mrs.,William302,Willms697,,Fritsch85,M,black,dominican,F,Boston MA US,1507 Bruen Ferry Apt. 817 Boston MA 02137 US,Primary fibromyalgia syndrome,,,,,,,,,,,,,,,,,2012.0,,,,,,,,,,,,,,,,,1987.0,,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88f6cfa4-8708-48cb-8582-92d2c2f03a3f,0.0,13,0,0,0,2012-07-19,,999-80-1356,,,,Otis797,Cormier699,,,,white,english,M,Boston MA US,8729 Savanah Grove Weymouth MA 02191 US,Viral sinusitis (disorder),,,,,,,,,,,,,,,,,2013.0,,,,,,,,,,,,,,,,,2012.0,,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c51d75fa-68aa-45e4-b23a-4c8c89487714,0.0,3,0,0,0,1991-11-06,,999-87-1969,S99999410,X20237961X,Mr.,Raegan869,Frami851,,,,white,irish,M,Haverhill MA US,6459 Montana Avenue Apt. 191 Orange MA 01378 US,Appendicitis,History of appendectomy,Hypertension,Acute viral pharyngitis (disorder),Acute bronchitis (disorder),,,,,,,,,,,,,2009.0,2009.0,2010.0,2014.0,2015.0,,,,,,,,,,,,,1991.0,,25.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25d9e840-d4aa-4ce7-a903-24b24dc0d363,0.0,3,0,1,0,1971-11-04,,999-72-3947,S99923803,false,Mrs.,Samir135,Ondricka593,,Carter640,M,white,italian,F,Lowell MA US,179 Kira Forest South Hadley MA 01075 US,Whiplash injury to neck,Hypertension,Diabetes,Viral sinusitis (disorder),,,,,,,,,,,,,,2010.0,2011.0,2011.0,2011.0,,,,,,,,,,,,,,1971.0,,45.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2ea8859b-7873-43a2-af85-e4f81f332a54,0.0,6,0,0,0,1955-11-05,,999-90-4265,S99997008,X51391717X,Mrs.,Zelma433,Grady505,,Tromp791,M,hispanic,central_american,F,Salem MA US,17691 Aufderhar Vista Wrentham MA 02093 US,Recurrent rectal polyp,Acute viral pharyngitis (disorder),,,,,,,,,,,,,,,,2006.0,2015.0,,,,,,,,,,,,,,,,1955.0,,61.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2c2955d7-e2df-4ef7-9691-5a212553413f,0.0,6,0,0,0,1955-11-04,,999-41-1622,S99922656,X22133117X,Mrs.,Berenice601,Sipes358,,Cummerata368,M,hispanic,puerto_rican,F,West Bridgewater MA US,728 Gleichner Estate Westborough MA 01581 US,Viral sinusitis (disorder),Acute bronchitis (disorder),Viral sinusitis (disorder),,,,,,,,,,,,,,,2010.0,2014.0,2015.0,,,,,,,,,,,,,,,1955.0,,61.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22323107-c0be-4f4c-96db-98add108585a,0.0,5,0,1,0,08/04/2006,,999-81-4719,,,,Hugh751,Ullrich303,,,,white,german,M,Canton MA US,15896 Furman Knoll Burlington MA 01805 US,Laceration of thigh,Acute bronchitis (disorder),,,,,,,,,,,,,,,,2012.0,2012.0,,,,,,,,,,,,,,,,2006.0,,10.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0058121d-948e-4952-9ae2-2caec809036f,0.0,4,1,0,0,1961-08-25,,999-85-5397,S99938233,X52457723X,Ms.,Madalyn421,Morissette345,,,S,white,portuguese,F,Waltham MA US,2715 O'Conner Port Springfield MA 01118 US,Acute viral pharyngitis (disorder),Viral sinusitis (disorder),,,,,,,,,,,,,,,,2013.0,2013.0,,,,,,,,,,,,,,,,1961.0,,55.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5267a19c-532e-4892-8bef-b0b9e1ba4f3e,0.0,2,0,0,1,03/07/1989,,999-52-8104,S99917221,X53895019X,Ms.,Clementine115,Balistreri143,,,S,white,irish,F,Billerica MA US,339 Bernhard Shoal Apt. 955 Carver MA 02330 US,Hypertension,Normal pregnancy,Normal pregnancy,,,,,,,,,,,,,,,2008.0,2013.0,2014.0,,,,,,,,,,,,,,,1989.0,,27.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4b848a4d-58b1-451b-988e-00d4ad3146ae,0.0,5,0,2,0,1934-10-28,,999-48-2340,S99975794,X93358882X,Mrs.,Deonte471,Cole815,,Gleichner591,M,white,italian,F,Chicopee MA US,595 Maude Course Suite 862 Boston MA 02121 US,Viral sinusitis (disorder),Stroke,Acute bacterial sinusitis (disorder),,,,,,,,,,,,,,,2010.0,2010.0,2013.0,,,,,,,,,,,,,,,1934.0,,82.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
a64b9e7e-c038-4af3-8b73-be74a2b6486b,0.0,7,1,1,0,1959-01-24,,999-77-6055,S99935260,X61247399X,Ms.,Amely718,Ledner578,,,S,white,french_canadian,F,Chicopee MA US,99787 Moen Roads Ipswich MA 01938 US,Viral sinusitis (disorder),Acute bronchitis (disorder),Acute viral pharyngitis (disorder),Sprain of ankle,Localized  primary osteoarthritis of the hand,,,,,,,,,,,,,2011.0,2013.0,2014.0,2014.0,2015.0,,,,,,,,,,,,,1959.0,,57.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cb501967-46c4-4137-8d1c-2dd307df1c59,0.0,2,0,0,0,1984-03-13,,999-79-2048,S99924698,X53960816X,Mrs.,Cary697,Sawayn275,,Kuvalis570,M,white,polish,F,Middleborough MA US,6093 Stuart Mountain Apt. 619 Colrain MA 01340 US,Viral sinusitis (disorder),Acute viral pharyngitis (disorder),,,,,,,,,,,,,,,,2010.0,2015.0,,,,,,,,,,,,,,,,1984.0,,32.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22d0ef8d-66fe-4160-a715-65f7fcd906f3,0.0,5,1,1,0,2004-12-24,,999-33-2877,,,,Oscar577,Price776,,,,asian,chinese,F,Lexington MA US,236 Schroeder Trail Cambridge MA 02238 US,Fracture subluxation of wrist,Streptococcal sore throat (disorder),,,,,,,,,,,,,,,,2010.0,2013.0,,,,,,,,,,,,,,,,2004.0,,12.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f8c8bf4b-d76c-4049-940c-8c45f10c1df7,0.0,6,1,0,0,1951-04-19,,999-68-3822,S99986551,false,Mrs.,Allen100,Hauck336,,Hilpert277,M,white,english,F,Norwood MA US,504 Devyn Valley Apt. 507 Chelmsford MA 01824 US,Viral sinusitis (disorder),,,,,,,,,,,,,,,,,2014.0,,,,,,,,,,,,,,,,,1951.0,,65.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3794eb00-c238-44e4-a899-56d8f024b2fb,0.0,2,0,1,1,1985-02-24,,999-30-2666,S99934579,X26884418X,Mr.,Katlynn132,Aufderhar569,,,M,asian,chinese,M,Plymouth MA US,51675 Ankunding Lights Boston MA 02111 US,Impacted molars,Concussion with no loss of consciousness,,,,,,,,,,,,,,,,2011.0,2015.0,,,,,,,,,,,,,,,,1985.0,,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
a64df68f-7bf7-4cff-be76-33f8757b0ac7,0.0,6,0,0,0,2004-02-03,,999-89-5341,,,,Joel608,Lehner297,,,,white,irish,F,Sterling MA US,799 Deckow Crossing Apt. 546 Cambridge MA 02163 US,Viral sinusitis (disorder),Viral sinusitis (disorder),,,,,,,,,,,,,,,,2010.0,2010.0,,,,,,,,,,,,,,,,2004.0,,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ed609c4-50b3-40fe-9356-83d2781b4610,0.0,1,0,0,1,1977-06-08,,999-81-7788,S99968506,X89281462X,Ms.,Jevon836,Metz905,,,S,white,american,F,Quincy MA US,37855 Marquardt Trail West Boylston MA 01583 US,Stroke,Normal pregnancy,Acute viral pharyngitis (disorder),Acute viral pharyngitis (disorder),Acute bronchitis (disorder),,,,,,,,,,,,,2006.0,2010.0,2013.0,2015.0,2015.0,,,,,,,,,,,,,1977.0,,39.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10df0705-e15c-44c2-9150-373b682da512,0.0,6,1,1,0,1958-05-14,,999-92-3546,S99926984,false,Mrs.,Hunter879,Reichert546,,Turcotte182,M,white,italian,F,Leominster MA US,28202 Dicki Summit Heath MA 01346 US,Prediabetes,Osteoarthritis of knee,Acute viral pharyngitis (disorder),Diabetes,Facial laceration,Acute bronchitis (disorder),,,,,,,,,,,,2006.0,2011.0,2013.0,2013.0,2014.0,2014.0,,,,,,,,,,,,1958.0,,58.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aca5303c-65c0-4f7c-a400-6ef7cf81d2a4,0.0,2,0,1,0,19/04/1985,,999-84-2241,S99996652,FALSE,Mr.,Wilbert639,Orn984,,,M,white,polish,M,North Brookfield MA US,653 Hanna Rest Peabody MA 01960 US,Viral sinusitis (disorder),Sinusitis (disorder),Chronic sinusitis (disorder),Sprain of wrist,,,,,,,,,,,,,,2011.0,2011.0,2011.0,2011.0,,,,,,,,,,,,,,1985.0,,31.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0eded014-1cd8-46b4-b824-27f7f0d720e3,0.0,5,0,1,0,1953-05-20,,999-21-7379,S99979054,false,Mr.,Jadyn330,Haag357,,,M,white,italian,M,Brockton MA US,4082 Lavinia Ports Needham MA 02494 US,Sprain of ankle,Viral sinusitis (disorder),Acute bronchitis (disorder),Acute bronchitis (disorder),,,,,,,,,,,,,,2011.0,2012.0,2013.0,2015.0,,,,,,,,,,,,,,1953.0,,63.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
e847e03b-ade4-4dbc-8bcc-c807bd7036f2,0.0,6,0,0,0,2003-10-28,,999-60-8077,,,,Donny289,Reilly99,,,,white,german,F,Carver MA US,3498 Cartwright Prairie Springfield MA 01104 US,Acute viral pharyngitis (disorder),,,,,,,,,,,,,,,,,2013.0,,,,,,,,,,,,,,,,,2003.0,,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51222d76-b429-4d4d-a1b3-7ecebe80313e,0.0,6,0,0,0,28/12/2000,,999-87-1988,S99974035,,,Leatha834,Mills225,,,,white,german,F,New Bedford MA US,223 Reinger Mall Malden MA 02148 US,Viral sinusitis (disorder),,,,,,,,,,,,,,,,,2010.0,,,,,,,,,,,,,,,,,2000.0,,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294a2347-25ff-4b98-8728-7df43737d01e,0.0,13,0,0,0,2012-08-30,,999-13-3935,,,,Maryjane379,Mitchell360,,,,white,irish,F,Lee MA US,5795 Kayli Squares Suite 168 Springfield MA 01101 US,Otitis media,Acute viral pharyngitis (disorder),Acute bronchitis (disorder),Atopic dermatitis,Streptococcal sore throat (disorder),,,,,,,,,,,,,2014.0,2014.0,2015.0,2015.0,2015.0,,,,,,,,,,,,,2012.0,,4.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85ada660-c58c-413a-b98e-aa29ee507fe2,0.0,5,2,0,0,1950-11-04,,999-71-4716,S99970919,X74485433X,Mr.,Dayana582,Stehr103,,,M,white,french,M,Boston MA US,7500 Joyce Forge Plymouth MA 02360 US,Coronary Heart Disease,Osteoarthritis of hip,Streptococcal sore throat (disorder),,,,,,,,,,,,,,,2011.0,2013.0,2014.0,,,,,,,,,,,,,,,1950.0,,66.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
